contrast,day_factor,ratio,SE,df,null,z.ratio,p.value,comparison_type
(LD-diet Day) / (DD-diet Day),0,1.51,0.24,Inf,1,2.61,0.04,Day: LD vs DD
(LD-diet Day) / (LD-diet Night),0,1.33,0.24,Inf,1,1.62,0.37,LD: Day vs Night
(LD-diet Day) / (DD-diet Night),0,2.52,0.47,Inf,1,5.01,3.23E-06,NA
(DD-diet Day) / (LD-diet Night),0,0.88,0.16,Inf,1,-0.70,0.90,NA
(DD-diet Day) / (DD-diet Night),0,1.66,0.31,Inf,1,2.72,0.03,DD: Day vs Night
(LD-diet Night) / (DD-diet Night),0,1.89,0.39,Inf,1,3.10,0.01,Night: LD vs DD
(LD-diet Day) / (DD-diet Day),1,3.62,0.63,Inf,1,7.38,9.63E-13,Day: LD vs DD
(LD-diet Day) / (LD-diet Night),1,2.06,0.40,Inf,1,3.74,0.0010,LD: Day vs Night
(LD-diet Day) / (DD-diet Night),1,4.16,0.84,Inf,1,7.07,9.19E-12,NA
(DD-diet Day) / (LD-diet Night),1,0.57,0.12,Inf,1,-2.74,0.03,NA
(DD-diet Day) / (DD-diet Night),1,1.15,0.24,Inf,1,0.67,0.91,DD: Day vs Night
(LD-diet Night) / (DD-diet Night),1,2.02,0.46,Inf,1,3.07,0.01,Night: LD vs DD
(LD-diet Day) / (DD-diet Day),2,2.12,0.40,Inf,1,3.93,4.93E-04,Day: LD vs DD
(LD-diet Day) / (LD-diet Night),2,5.59,1.38,Inf,1,6.96,1.99E-11,LD: Day vs Night
(LD-diet Day) / (DD-diet Night),2,2.06,0.44,Inf,1,3.40,0.00,NA
(DD-diet Day) / (LD-diet Night),2,2.64,0.67,Inf,1,3.82,7.67E-04,NA
(DD-diet Day) / (DD-diet Night),2,0.97,0.21,Inf,1,-0.12,1.00,DD: Day vs Night
(LD-diet Night) / (DD-diet Night),2,0.37,0.10,Inf,1,-3.68,0.00135,Night: LD vs DD
(LD-diet Day) / (DD-diet Day),3,0.97,0.21,Inf,1,-0.14,1.00,Day: LD vs DD
(LD-diet Day) / (LD-diet Night),3,3.15,0.94,Inf,1,3.85,6.81E-04,LD: Day vs Night
(LD-diet Day) / (DD-diet Night),3,1.24,0.30,Inf,1,0.91,0.80,NA
(DD-diet Day) / (LD-diet Night),3,3.24,0.94,Inf,1,4.05,2.99E-04,NA
(DD-diet Day) / (DD-diet Night),3,1.28,0.28,Inf,1,1.14,0.66,DD: Day vs Night
(LD-diet Night) / (DD-diet Night),3,0.40,0.12,Inf,1,-3.00,0.014,Night: LD vs DD
,,,,,,,,
