treatment,replicate,individual,reason
DD-diet,rep1,2,span_below_minimum
DD-diet,rep1,3,span_below_minimum
DD-diet,rep1,4,span_below_minimum
DD-diet,rep2,4,span_below_minimum
DD-diet,rep3,1,span_below_minimum
DD-diet,rep3,2,span_below_minimum
DD-diet,rep3,6,span_below_minimum
DD-diet,rep4,2,span_below_minimum
DD-diet,rep4,3,span_below_minimum
LD-diet,rep1,4,span_below_minimum
LD-diet,rep1,6,too_few_points
LD-diet,rep2,1,span_below_minimum
LD-diet,rep2,6,span_below_minimum
LD-diet,rep3,2,span_below_minimum
LD-diet,rep3,4,span_below_minimum
LD-diet,rep5,2,span_below_minimum
LD-diet,rep5,3,span_below_minimum
LD-diet,rep5,4,span_below_minimum
LD-diet,rep6,3,span_below_minimum
LD-diet,rep6,6,span_below_minimum
LD-diet,rep7,2,span_below_minimum
LD-diet,rep8,2,span_below_minimum
LD-diet,rep8,6,span_below_minimum
