treatment,replicate,individual,jtk_period,jtk_phase,jtk_tau,jtk_p,n_bins,jtk_q,jtk_sig
DD-diet,rep1,1,23.0,12.5,0.24787750687543636,0.0006184107014065501,192,0.0018312208738856537,True
DD-diet,rep1,5,22.0,4.5,-0.32248279386694834,4.71870254973772e-08,192,4.920932659012194e-07,True
DD-diet,rep1,6,28.0,16.5,0.21056351508604612,0.02085052647355799,192,0.04005495875183509,True
DD-diet,rep2,1,24.5,14.5,0.20448099335753558,0.06411825736986362,192,0.10637801790909193,False
DD-diet,rep2,2,24.5,19.0,-0.2039690248839325,0.060112131701539964,174,0.10205082823749809,False
DD-diet,rep2,3,28.0,27.0,-0.17065361189764094,0.587809509982137,192,0.7398292108395863,False
DD-diet,rep2,5,28.0,26.0,-0.24511683348326252,0.0009995870245713353,192,0.0025162018204726716,True
DD-diet,rep2,6,24.0,4.0,-0.21092391057143528,0.024227484712571138,192,0.044215159600442325,True
DD-diet,rep3,3,24.0,15.5,-0.15596324514373608,1.0,192,1.0,False
DD-diet,rep3,4,28.0,27.0,-0.24679546685493978,0.0005148814645806895,192,0.0016341889962778406,True
DD-diet,rep3,5,20.5,6.5,0.11643512329842376,1.0,192,1.0,False
DD-diet,rep4,1,28.0,13.0,0.17941113269539635,1.0,162,1.0,False
DD-diet,rep4,4,27.5,3.5,-0.31121821826144924,3.8715470040137236e-05,152,0.00017663933205812614,True
DD-diet,rep4,5,20.0,19.0,-0.192254255442328,0.09544152003639769,188,0.14823895665227727,False
DD-diet,rep4,6,20.5,9.0,0.24570372949200325,0.0009486633637010801,192,0.002473300912506387,True
DD-diet,rep5,1,23.5,15.0,0.2658284518640849,4.1838632067135666e-05,192,0.00017966000828828846,True
DD-diet,rep5,2,22.5,13.0,0.16993255043173616,0.3900990017631986,192,0.517767765976609,False
DD-diet,rep5,3,28.0,13.0,0.07309577623658543,1.0,192,1.0,False
DD-diet,rep5,4,24.0,8.5,0.27441294170980146,1.773590486596431e-05,192,9.24800753725282e-05,True
DD-diet,rep5,5,21.0,13.5,0.2510276675917293,0.00021275499409955824,192,0.0007059597531485341,True
DD-diet,rep5,6,23.0,19.5,-0.13948453085352366,1.0,192,1.0,False
DD-diet,rep6,1,27.5,25.0,-0.15723445638603545,1.0,160,1.0,False
DD-diet,rep6,2,23.5,9.5,0.2662263463511315,4.480132467749851e-05,192,0.00018169426119207728,True
DD-diet,rep6,3,25.0,14.5,0.21753851083430384,0.0065542281951463865,192,0.013670247378448177,True
DD-diet,rep6,4,22.5,21.0,-0.17371768435359228,0.3074064218084771,192,0.431551322923439,False
DD-diet,rep6,5,24.0,9.0,0.1716610217648592,0.34978732540533874,192,0.4817825425394288,False
DD-diet,rep6,6,22.5,0.5,0.17533975562786192,0.35892368401116975,192,0.48521164690398877,False
DD-diet,rep7,1,24.5,22.5,-0.1994734941008309,0.05911111708217717,192,0.10205082823749809,False
DD-diet,rep7,2,25.5,18.0,-0.21412575331511008,0.02257015673805435,192,0.04224670363789661,True
DD-diet,rep7,3,22.5,12.0,0.16518733024564433,0.5839806746429708,192,0.7398292108395863,False
DD-diet,rep7,4,20.5,20.0,-0.2056027022822511,0.03646725123603754,192,0.0649294961031888,False
DD-diet,rep7,5,28.0,0.0,-0.2110511249076952,0.016716057568500316,192,0.032980329797311435,True
DD-diet,rep7,6,22.0,9.0,0.29740145279835745,3.1181443790110042e-06,192,1.750957997444641e-05,True
DD-diet,rep8,1,28.0,26.5,-0.2728048052233373,5.801484801858634e-05,192,0.00021175419526784015,True
DD-diet,rep8,2,20.0,14.0,-0.1816612370196185,0.24262538493350713,192,0.3614623081662453,False
DD-diet,rep8,3,22.5,12.0,0.2967717039044844,2.610837216857469e-06,192,1.588259306921627e-05,True
DD-diet,rep8,4,24.0,13.0,0.32727808303889205,1.741879372388531e-08,192,2.5431438836872555e-07,True
DD-diet,rep8,5,25.0,8.0,0.30615913764130137,7.637552923002039e-07,192,5.068557848901353e-06,True
DD-diet,rep8,6,23.5,17.5,-0.14386401517789169,1.0,192,1.0,False
LD-diet,rep1,1,23.5,5.5,0.3254045339750674,6.654047529342771e-08,191,6.071818370525279e-07,True
LD-diet,rep1,2,24.5,17.0,-0.2727949079178716,2.588287365407404e-05,191,0.000125963318449827,True
