treatment,replicate,individual,n_points,span_hours,max_gap_hours,coverage,rhythm_type,is_rhythmic,n_sig_peaks,peak_at_edge,arrhythmic_reason,peak_period,peak_power,p_value,fap_level,peak_threshold,secondary_period,secondary_power,amplitude,mesor,cosinor_r2,phase_fraction,acrophase_zt
DD-diet,rep1,1,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,22.491803278688522,0.042494762871449356,2.948384456710852e-53,0.0019102704914328013,0.0023878381142910018,,,0.21614991497924319,0.2764001481987644,0.04912169797325394,0.5899635845090772,13.269344884368095
DD-diet,rep1,5,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,22.057877813504824,0.15698761885559565,3.760848166111907e-212,0.0019102704914328013,0.0023878381142910018,,,1.0383603136806618,0.9824164147646748,0.15624941442674145,0.657381431945874,14.500439302728925
DD-diet,rep1,6,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,21.238390092879257,0.06462614950965283,2.1395608437593615e-82,0.0019102704914328013,0.0023878381142910018,,,0.5291161362432851,0.9358645549205568,0.05690877649296977,0.8205107426902056,17.426327228652664
DD-diet,rep2,1,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Complex,True,2,False,,26.901960784313726,0.0655990958773279,1.0782956256254153e-83,0.001910270491432793,0.0023878381142909914,20.851063829787233,0.026331626062123893,0.3062784995755815,0.35167635239071915,0.04378191171702717,0.5607098293424491,15.084193840349807
DD-diet,rep2,2,5212,86.98333333333332,0.0833333333333286,0.9984674329501351,Simple,True,1,False,,23.57388316151203,0.0695578581484544,1.766918330404532e-80,0.002067100058353178,0.0025838750729414725,,,0.6388425648778343,1.4938671154490346,0.05205074742410676,0.35853450022547906,8.452050417686552
DD-diet,rep2,3,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,23.097643097643097,0.03435295115803333,1.0172872051151716e-42,0.001910270491432793,0.0023878381142909914,,,0.37376399171598784,0.5409945679199166,0.04721104385589381,0.5257742418745294,12.144145788751755
DD-diet,rep2,5,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Arrhythmic,False,0,True,boundary,28.0,0.11431741730068445,1.67275570085544e-150,0.001910270491432793,0.0023878381142909914,,,0.412843031200019,0.31925135501084523,0.09569933285721,0.4039279721920006,11.309983221376017
DD-diet,rep2,6,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Complex,True,2,False,,26.69260700389105,0.09946864344977024,9.437591155906229e-130,0.001910270491432793,0.0023878381142909914,20.725075528700906,0.0698256324605074,0.2771537832580026,0.23059327779567712,0.07731007714601368,0.5900339079910788,15.749543224975879
DD-diet,rep3,3,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Arrhythmic,False,0,True,boundary,20.0,0.02522055296519988,5.092308497751013e-31,0.0019102704914328013,0.0023878381142910018,,,0.45790516105171875,0.7928782815637738,0.02994297725460837,0.7494028704755745,14.988057409511491
DD-diet,rep3,4,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,True,,25.88679245283019,0.09407087651387606,2.7064964338901406e-122,0.0019102704914328013,0.0023878381142910018,,,0.8379207957367278,0.8744401602901422,0.08989966880503597,0.6797214102197423,17.59580707210352
DD-diet,rep3,5,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,True,,23.902439024390244,0.016467639985163308,6.165888621320732e-20,0.0019102704914328013,0.0023878381142910018,,,0.39405165527795705,1.1904542830386775,0.016563493757936976,0.7688357068564681,18.3770486029107
DD-diet,rep4,1,4860,80.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,True,,20.851063829787233,0.01088267002090902,6.522585884323946e-11,0.0021961400731750117,0.0027451750914687647,,,0.08915645706989177,0.18102549811097163,0.009847541499748758,0.7419582568487191,15.47061897259031
DD-diet,rep4,4,4560,75.98333333333333,0.01666666666667993,0.9999999999999432,Arrhythmic,False,0,True,boundary,28.0,0.06671961235891223,2.3302614452428205e-67,0.0022986900113391184,0.002873362514173898,,,0.2100017962598284,0.1812253948849899,0.06877671654474571,0.5928932309878249,16.601010467659098
DD-diet,rep4,5,5640,93.98333333333333,0.01666666666667993,0.999999999999943,Simple,True,1,True,,25.128205128205128,0.040601694323640296,9.94966493392091e-50,0.001945603658354389,0.0024320045729429862,,,0.44035943134709193,2.233669299990153,0.01056368389091078,0.44397192992496026,11.156217726319515
DD-diet,rep4,6,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Complex,True,2,False,,20.851063829787233,0.10123327809890273,3.365046345020427e-132,0.001910270491432793,0.0023878381142909914,27.77327935222672,0.09039702650901231,0.7485960713160668,0.49926488108568234,0.10023283613236078,0.45261350542800727,9.43747309190313
DD-diet,rep5,1,5760,95.98333333333335,0.01666666666667993,0.999999999999943,Simple,True,1,False,,23.737024221453286,0.05763609696321057,4.089121275956723e-73,0.0019102704914328256,0.002387838114291032,,,1.0372227665595641,2.592683573928411,0.06549198591887173,0.6339204592232048,15.047385295056003
DD-diet,rep5,2,5760,95.98333333333335,0.01666666666667993,0.999999999999943,Simple,True,1,False,,22.491803278688522,0.038633727148984484,3.014654836477518e-48,0.0019102704914328256,0.002387838114291032,,,0.9460851607482493,2.8513494138498268,0.04339357318560555,0.5848373873818201,13.15404746701405
DD-diet,rep5,3,5760,95.98333333333335,0.01666666666667993,0.999999999999943,Arrhythmic,False,0,True,boundary,28.0,0.007496160100681733,9.431618717508807e-09,0.0019102704914328256,0.002387838114291032,,,0.36356089109448664,2.606930553114069,0.006400739116982024,0.5351883038493345,14.985272507781364
DD-diet,rep5,4,5760,95.98333333333335,0.01666666666667993,0.999999999999943,Simple,True,1,False,,23.57388316151203,0.11189649737260367,4.2721555752926265e-147,0.0019102704914328256,0.002387838114291032,,,0.8718975380321258,1.5180509641015174,0.08342828078274211,0.41337250776324,9.744795200191845
DD-diet,rep5,5,5760,95.98333333333335,0.01666666666667993,0.999999999999943,Simple,True,1,False,,21.640378548895896,0.08422679266272126,8.264600646302189e-109,0.0019102704914328256,0.002387838114291032,,,1.1841961905538991,2.3008672584313983,0.08286032188991554,0.5979577372765789,12.940031790906405
DD-diet,rep5,6,5760,95.98333333333335,0.01666666666667993,0.999999999999943,Simple,True,1,False,,24.07017543859649,0.017692344758404772,1.7691878092006883e-21,0.0019102704914328256,0.002387838114291032,,,0.5812306338791069,2.377517050969504,0.016315943196004046,0.29680678948935335,7.144191494375312
DD-diet,rep6,1,4800,79.98333333333333,0.01666666666667993,0.9999999999999432,Arrhythmic,False,0,True,boundary,20.0,0.02389818905467834,2.090110746971607e-24,0.002219973740871991,0.0027749671760899887,,,0.47091768416574314,2.2110546810503466,0.016221243111168238,0.32599080058994245,6.5198160117988495
DD-diet,rep6,2,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,24.07017543859649,0.060368972721153706,9.806841116953028e-77,0.0019102704914328013,0.0023878381142910018,,,0.4584551602512411,0.844618214281879,0.05597606827578483,0.3779088171596721,9.096331528825791
DD-diet,rep6,3,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Complex,True,2,False,,26.486486486486484,0.10922778699520426,2.3753452811539706e-143,0.0019102704914328013,0.0023878381142910018,20.725075528700906,0.06755140189517739,1.2923143312123069,1.914157293167941,0.08750158210940595,0.5367970110117205,14.217866778148272
DD-diet,rep6,4,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,22.491803278688522,0.029213612294186418,4.050758995605076e-36,0.0019102704914328013,0.0023878381142910018,,,0.6342201602520455,1.968461635964769,0.024870086759796628,0.4689158034681722,10.546762005874298
DD-diet,rep6,5,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,24.24028268551237,0.03765270326401234,5.604887817558736e-47,0.0019102704914328013,0.0023878381142910018,,,0.8333887355053268,2.6726680410133397,0.03014959017137242,0.39552878141925124,9.587729471858882
DD-diet,rep6,6,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,22.790697674418606,0.02857853319504594,2.6319266813407594e-35,0.0019102704914328013,0.0023878381142910018,,,0.17953948215624554,0.32572220489176124,0.029813145820013043,0.050073410264902043,1.1412079548745118
DD-diet,rep7,1,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Complex,True,2,False,,26.283524904214563,0.09867783706934573,1.1756383355800885e-128,0.0019102704914328256,0.002387838114291032,20.35608308605341,0.050305353541423826,0.657555906407752,0.6313558020737641,0.10259669378796421,0.3935029615102626,10.342644888737171
DD-diet,rep7,2,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,26.283524904214563,0.07033803033885508,4.926116157456528e-90,0.0019102704914328256,0.002387838114291032,,,0.3599850736254523,0.3762118323244326,0.07253869127889045,0.1343921349621678,3.532299026208702
DD-diet,rep7,3,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,22.790697674418606,0.0419965238174111,1.3100500416949497e-52,0.0019102704914328256,0.002387838114291032,,,0.618751822682847,2.1184528281128925,0.029176148715313377,0.4587376672578422,10.454951486341521
